"SGI 2022 Values", Sustainable Policies, Inflation, Gross Fixed Capital Formation, Real Interest Rates, Potential Output Growth Rate, Real GDP Growth Rate, Unemployment, Long-term Unemployment, Youth Unemployment, Low-skilled Unemployment, Employment, Low Pay Incidence, Employment Rates by Gender, Involuntary Part-time Employment, Tax System Complexity, Structural Balance, Statutory Corporate Tax Rate, Redistribution Effect, Statutory Maximum Personal Income Tax Rate, Debt to GDP, Primary Balance, Gross Interest Payments by General Govt, Budget Consolidation, Debt per Child, External Debt to GDP, Public R&D Spending, Private R&D Spending, Total Researchers, Intellectual Property Licenses, PCT Patent Applications, Quality of Overall Infrastructure, Tier 1 Capital Ratio, Banks' Nonperforming Loans, Financial Secrecy Score, External Debt to Exports, Upper Secondary Attainment, Tertiary Attainment, PISA results, PISA Results According to Socioeconomic Background, Pre-primary Education Expenditure, PISA Low Achievers in all Subjects, Less Than Upper Secondary Education by Gender, Poverty Rate, NEET Rate, Gini Coefficient, Gender Equality in Parliaments, Life Satisfaction, Gender Wage Gap, Spending on Preventive Health Programs, Healthy Life Expectancy, Infant Mortality, Perceived Health Status, Household Out Of Pocket Expenses, Physicians per 1000 Inhabitants," Child Care Enrolment, Age 0-2"," Child Care Enrolment, Age 3-5", Fertility Rate, Child Poverty Rate, Female Labor Force Participation Rate, Older Employment, Old Age Dependency Ratio, Senior Citizen Poverty, FB-N Upper Secondary Attainment, FB-N Tertiary Attainment, FB-N Unemployment, FB-N Employment, Homicides, Personal Security, Confidence in Police, ODA, Energy Productivity, Gross Greenhouse Gas Emissions, Particulate Matter, Biocapacity, Waste Generation, Material Recycling, Biodiversity, Renewable Energy, Material Footprint, Multilateral Environmental Agreements, Net Greenhouse Gas Emissions
Estonia,6.95976060301253,4.49,30.52,-5.11,9.26,8.35,6.5,1.56,16.7,12.0,74.0,21.95,0.96,15.8,89.88,-3.61,20.0,34.41,20.0,18.05,-2.36,0.03,1,46.23,0.16,0.61,1.02,8.26,4.81,34.04,4.88,23.52,1.09,44.2,1.02,89.5,41.2,525.51,1.78,0.35,4.22,0.55,12.2,15.2,30.6,28.71,6.34,17.32,4.8,69,1.7,0.42,19.88,3.48,26.7,93.5,1.58,10.6,0.94,71.6,33.08,16.8,1.06,1.21,1.59,0.96,3.17,89,5.99,0.17,0.22,8.7,0.0,9.33,383.0,26.11,17.0,31.29,37.53,0.91,9.67
Finland,7.41315148435512,2.07,24.54,-2.74,3.8,3.3,7.8,1.84,17.1,13.6,72.7,8.63,0.97,31.6,90.89,-2.38,20.0,47.15,51.26,66.69,-2.75,0.49,1,230.43,0.35,0.78,2.02,17.23,2.99,237.6,5.87,18.51,1.45,51.8,5.03,88.9,42.3,516.42,3.47,0.77,7.01,0.64,5.1,11.2,26.5,46.0,7.82,17.16,4.32,71,1.9,0.69,16.36,3.48,39.6,85.3,1.37,3.2,0.96,68.3,37.39,4.8,0.84,0.74,1.94,0.9,1.64,92,6.72,0.47,0.19,8.64,0.0,12.14,596.0,28.19,12.47,45.76,36.73,1.0,5.5
France,6.90599514222624,2.06,24.99,-0.81,4.58,6.98,7.9,2.32,18.9,12.0,67.2,7.74,0.92,28.3,79.18,-5.87,25.8,43.74,51.46,112.33,-5.82,1.39,1,315.91,0.57,0.69,1.5,11.98,1.23,101.51,5.26,16.81,2.55,47.88,7.87,82.2,40.7,493.66,8.22,0.67,12.52,1.0,8.3,15.9,29.3,39.51,6.69,11.82,2.85,72,3.4,0.78,8.94,3.17,57.2,97.0,1.83,10.2,0.92,55.9,34.33,5.9,0.77,0.84,1.7,0.89,1.35,85,5.26,0.52,0.3,5.93,4.94,2.38,535.0,22.62,16.99,15.53,17.1,0.94,5.72
Germany,7.2955185608587,3.21,22.65,-3.42,5.48,2.79,3.6,1.16,6.9,7.0,75.8,17.64,0.91,7.1,82.16,-2.61,29.8,41.5,47.48,70.21,-3.28,0.59,1,297.15,0.32,0.88,2.29,11.38,2.8,223.53,5.23,16.77,1.05,56.7,3.47,84.8,30.9,500.44,7.19,0.55,12.82,1.05,10.2,9.7,30.5,31.17,7.03,13.89,3.21,71,3.1,0.63,11.63,4.53,16.4,47.5,1.53,9.9,0.9,71.8,34.35,11.5,0.72,0.85,2.17,0.88,0.93,88,5.1,0.74,0.36,8.76,7.06,1.49,632.0,47.78,17.0,17.17,19.4,1.0,8.63
Greece,4.69663397508452,0.57,17.84,-1.17,0.65,8.34,14.9,9.26,35.5,16.6,57.2,16.43,0.73,55.7,77.14,-6.66,22.0,41.33,54.0,198.93,-5.91,2.46,1,453.39,1.49,0.64,0.86,11.59,0.18,12.48,4.44,13.05,9.16,52.83,7.21,79.8,34.6,453.47,3.79,0.27,19.87,0.97,11.8,19.5,31.4,21.67,5.95,8.91,1.8,71,3.6,0.89,33.44,6.16,21.5,86.1,1.34,14.7,0.79,48.3,35.41,5.8,0.86,0.58,1.62,0.96,0.75,78,4.07,0.12,0.34,6.98,42.62,1.17,524.0,16.03,17.0,18.51,15.17,0.68,6.61
Hungary,5.11435951674567,5.12,30.16,-3.75,5.88,7.12,4.1,1.26,13.5,9.6,73.1,20.26,0.88,23.0,80.57,-6.08,10.8,38.23,15.0,78.11,-4.88,2.34,1,199.12,0.23,0.49,0.99,9.32,0.91,24.53,3.9,16.92,3.77,55.2,1.77,86.3,29.3,479.33,8.74,0.67,15.46,1.14,7.2,15.0,28.0,12.06,6.09,9.93,3.72,67,3.4,0.67,25.52,3.28,10.5,89.5,1.56,8.1,0.88,62.8,31.71,6.2,1.04,1.36,0.85,1.1,0.83,85,4.54,0.29,0.28,6.43,73.9,2.57,364.0,22.25,17.0,13.64,15.27,0.9,5.73
Iceland,6.09127692869033,4.45,23.0,-2.28,8.02,4.35,6.2,1.28,12.0,6.8,79.8,7.6,0.93,15.4,83.75,-5.01,20.0,32.25,46.25,75.02,-6.58,4.09,1,239.78,0.12,0.75,1.72,10.9,4.54,114.66,4.84,23.05,2.06,42.45,2.17,82.0,42.6,481.4,2.18,0.9,13.71,0.79,4.5,7.4,23.2,38.1,7.56,12.9,3.89,72,1.5,0.77,14.81,3.89,61.3,98.1,1.72,5.0,0.94,80.2,24.8,3.4,1.01,1.01,2.13,0.95,1.47,92,6.41,0.28,0.08,12.38,0.0,29.55,702.0,20.57,13.76,81.07,59.61,0.51,37.13
Ireland,6.74286575255124,2.41,24.2,0.44,9.74,13.48,6.3,1.61,14.5,8.6,69.8,14.9,0.88,12.6,94.59,0.25,12.5,43.85,40.0,55.27,-1.24,0.78,2,312.98,0.41,0.28,0.95,10.88,0.13,89.6,4.71,23.67,2.8,47.2,5.68,87.5,52.7,504.61,3.63,0.07,7.49,0.65,6.6,10.8,28.3,22.5,7.04,5.17,4.97,71,2.6,0.8,10.32,4.05,22.9,92.7,1.63,6.9,0.88,62.8,23.06,4.6,1.09,1.22,1.27,1.04,0.69,85,5.68,0.31,0.76,11.63,0.0,3.07,555.0,31.53,14.09,12.34,49.25,0.76,13.02
Israel,5.83767737346114,1.49,22.79,-1.45,7.89,8.19,5.09,0.47,7.76,4.84,66.6,22.41,0.96,5.9,89.61,-4.19,23.0,23.83,50.0,68.93,-1.97,2.16,1,113.82,0.13,0.49,4.65,17.38,1.01,243.78,4.68,10.88,1.13,59.3,1.12,88.01,50.12,465.22,6.5,0.88,22.08,0.85,17.3,17.62,34.2,27.5,7.36,22.66,0.36,72,2.9,0.91,17.14,3.31,57.7,100.0,2.9,22.0,0.95,67.37,21.07,18.9,1.03,1.38,0.75,0.87,1.47,84,5.09,0.08,0.4,8.77,80.01,0.18,691.16,6.43,13.07,4.47,30.76,0.42,8.73
Italy,6.08933450461676,1.94,20.01,0.33,4.9,6.64,9.7,5.51,29.7,12.4,58.2,3.71,0.74,62.8,63.95,-4.63,27.81,35.42,47.13,150.86,-3.8,3.54,1,540.42,0.46,0.47,0.99,7.44,0.92,62.46,4.53,16.5,3.35,54.85,4.03,62.7,20.0,476.96,2.83,0.49,13.77,0.87,13.4,26.1,32.5,35.71,6.47,7.64,6.42,72,2.5,0.88,21.76,4.13,26.3,93.2,1.24,16.8,0.75,53.4,37.12,10.2,0.8,0.6,1.47,1.02,0.47,84,4.85,0.28,0.41,6.39,49.93,0.82,503.0,30.02,17.0,17.27,11.85,0.81,5.85
